PlayerID,TeamID,FirstName,LastName,Number,Birthday,Position
1,15,Jose,Millins,51,1990-07-09,CF
2,2,Esta,Jzak,45,2000-10-01,LF
3,15,Howard,Treffry,1,1996-05-28,CF
4,29,Lexie,Barrat,25,1989-10-31,LF
5,14,Maison,Melmar,66,1992-03-02,RF
6,15,Sioux,Heinl,32,1990-05-27,P
7,17,Gwenni,Woolbrook,12,2000-02-05,3B
8,28,Christy,Biggins,15,1985-04-03,3B
9,12,Sutton,Goodinson,21,1998-05-11,3B
10,30,Kelci,Tenman,39,2001-07-06,1B
11,25,Darnall,Cleary,75,1982-06-27,1B
12,5,Caryl,Abbys,38,1983-05-29,P
13,13,Haven,Fallowfield,85,1984-02-25,RF
14,22,Dorine,Albert,77,1983-06-08,P
15,3,Audy,Bougourd,38,1981-06-20,P
16,10,Gray,Derl,18,1988-03-27,SS
17,25,Antoni,Mantione,4,1999-04-09,LF
18,21,Payton,Ferrara,41,1998-02-07,CF
19,20,Dud,Speeding,15,1983-06-29,2B
20,22,Quinlan,Ratchford,37,1983-11-16,RF
21,19,Avis,Glassford,3,2002-07-18,1B
22,10,Cobby,Plaschke,79,2001-11-20,P
23,30,Tedmund,Craydon,33,1986-05-18,RF
24,24,Emma,Swale,1,1984-04-24,2B
25,18,Trude,Weekes,17,1993-07-01,2B
26,26,Binni,Colwill,10,1985-03-29,2B
27,21,Welch,Zmitruk,94,2001-12-13,RF
28,17,Verne,Udale,17,1997-01-08,SS
29,14,Corbie,Pevie,2,1995-06-04,LF
30,4,Victoir,Faulconbridge,32,1995-06-04,LF
31,28,Betty,Sapwell,69,1992-12-01,CF
32,4,Maurise,Sorrel,60,2000-09-16,2B
33,14,Gan,Lahrs,56,1989-09-28,SS
34,1,Nesta,Robertazzi,21,1981-02-04,2B
35,11,Nicolas,Le Marquis,90,2002-07-08,LF
36,23,Steward,Matson,90,1990-03-27,2B
37,11,Birch,Tappington,94,1988-10-15,C
38,24,Stafani,McParland,90,2001-03-20,LF
39,1,Rachele,Penhaleurack,94,1980-10-18,SS
40,7,Alessandra,Champneys,60,1996-08-10,RF
41,20,Westbrooke,McGinly,88,1996-10-15,CF
42,14,Rene,Golda,10,1995-12-20,CF
43,24,Sidonnie,Osan,96,1988-08-26,1B
44,5,Revkah,Meake,97,1985-02-16,3B
45,22,Reyna,Lockhurst,23,1987-04-11,SS
46,6,Zachary,Hutsby,23,1984-06-21,CF
47,24,Marthena,Hewson,10,1999-11-05,RF
48,8,Barrett,Plastow,49,1996-03-10,RF
49,5,Loni,Johanssen,97,1991-09-15,P
50,30,Wallace,Greenall,36,1983-03-09,2B
51,10,Edward,Andretti,74,1989-10-15,SS
52,5,Ruben,Brodnecke,54,2001-03-30,C
53,18,Sharona,Dedman,3,1985-07-27,SS
54,20,Laurette,Grinley,89,2000-03-28,3B
55,18,Nerta,Message,72,1980-11-11,LF
56,24,Fanni,Le Friec,61,1987-04-08,C
57,4,Floyd,Cutcliffe,89,1994-01-25,2B
58,30,Luigi,McKendry,38,1999-02-15,SS
59,5,D'arcy,Coggon,77,1998-05-23,1B
60,27,Patrizio,Stepto,69,1984-06-09,2B
61,21,Stanly,Copnell,56,1993-09-03,P
62,24,Eduard,Laroze,49,1984-04-13,C
63,9,Claudie,Cuddihy,64,1988-01-11,CF
64,13,Hobey,Sainthill,27,2001-06-22,1B
65,20,Eudora,Copcote,75,1985-01-21,C
66,7,Debby,Margach,23,1994-04-25,CF
67,6,Cherey,Boullen,16,1980-02-22,LF
68,20,Galven,Bills,92,2002-10-06,P
69,18,Dorolice,Earengey,6,1984-01-07,1B
70,7,Jillian,Cabrer,80,1992-07-08,SS
71,9,Natty,Huitson,54,1986-06-23,2B
72,7,Alair,Clouter,67,1987-11-16,CF
73,18,Harmon,Attenbrough,65,1980-07-15,1B
74,16,Yurik,Schimke,52,1982-05-31,LF
75,8,Andrus,Greystock,18,1981-03-31,1B
76,17,Waylin,Ascraft,68,1989-06-06,LF
77,14,Eunice,De La Haye,86,1995-09-07,1B
78,10,Abbi,Leacock,64,1983-01-12,CF
79,23,Ally,McRorie,3,1986-03-06,P
80,14,Duffie,Glinde,78,1981-03-07,C
81,1,Putnem,Pepis,21,1985-07-30,1B
82,20,Dane,Clulow,49,1980-10-15,CF
83,13,Emlyn,Longmead,8,1995-04-03,2B
84,13,Hugibert,McGrale,30,1995-10-10,C
85,9,Mack,Antoney,54,1993-07-08,1B
86,16,Clio,Ricardin,97,1984-01-06,P
87,2,Jacquenette,Jeffree,75,1987-10-26,RF
88,27,Tamiko,Middell,59,1990-09-09,SS
89,13,Sylvester,MacConnal,58,1993-06-29,2B
90,23,Morgan,Canning,1,1989-12-17,LF
91,7,Tawsha,Folliott,66,1983-11-12,C
92,9,Diahann,Noyce,44,1995-04-14,P
93,26,Hobard,Egle,38,1984-04-26,CF
94,26,Onfroi,Nurse,89,2000-10-19,LF
95,25,Padraig,Dowles,90,2002-03-03,LF
96,3,Had,Loutheane,7,1997-03-19,2B
97,19,Bill,Matusov,25,1998-01-26,P
98,3,Jeremy,Branston,10,1996-01-31,RF
99,26,Jackqueline,Jeayes,87,1994-07-25,CF
100,8,Halley,Dourin,55,1995-02-24,P
